unesco_id;unesco_site;acled_event_id;date;event_type;sub_event;distance_km;fatalities;notes;location_acled
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR5443;2018-05-30;Strategic developments;Arrests;0.51;0;On 30 May 2018, in Kiev, Ukrainian authorities detained a Ukrainian citizen, Borys Herman, accused of being recruited by Russia's secret services to organize a murder plot against self-exiled Russian reporter and Kremlin critic Arkady Babchenko. Ukraine's Security Service (SBU) says it thwarted the planned killing by working together with Babchenko to fake his death. Ukrainian authorities also said a total of up to 30 people in Ukraine had been targeted for killing as part of the alleged Russian plot. Both SBU officials and Babchenko have defended their decision to fake Babchenko's death - rejecting criticism from reporters and journalism advocates who warned that it has undermined the credibility of law enforcement agencies and independent media organizations.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR6379;2018-06-21;Violence against civilians;Attack;0.51;0;Around 21 June 2018 (between 18 June - 24 June), more than 20 LGBT activists and volunteers of the March of Equality were assaulted and beaten in Kiev.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR7957;2018-08-06;Strategic developments;Looting/property destruction;0.51;0;Property destruction: On 6 August 2018, unidentified individuals tried to break into the house of a TV journalist and her parents outside Kiev by breaking the door, however fled when neighbours called the police. One of the attackers was identified as a member of a Chechen criminal group and was placed on the wanted list.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR8315;2018-08-15;Strategic developments;Disrupted weapons use;0.51;0;Weapons seizure: On 15 August 2018, in Kiev, law enforcers uncovered an arms cache in a garage cooperative, belonging to a former Kiev-2 battalion serviceman, with a large quantity of firearms, ammunition and explosives.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR8933;2018-09-04;Strategic developments;Other;3.49;0;On 4 September 2018, in Kyiv, Serhiy Chemes, a 'hired heavy' who was charged with torturing and murdering Ukrainian anti-government protesters during Euromaidan in 2014, was sentenced to three years and three months in prison after agreeing to testify against his former accomplices;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR8934;2018-09-04;Strategic developments;Other;3.49;0;On 4 September 2018, A court in Kiev has prolonged the arrest of parliament member Nadezhda Savchenko, accused of plotting terrorist attacks, till October 30, Savchenko's lawyer Alexander Shadrin told TASS. The court thereby dismissed the lawyer's request for Savchenko's release on parole. Shadrin said the defence will protest this decision. The Ukrainian parliament on March 22 stripped Savchenko of immunity and authorized her detention and arrest. First, Savchenko was detained and arrested for two months. The arrest was prolonged again and the request for easing the restrictive measure was turned down. Investigators suspect Savchenko of plotting terrorist attacks inside the parliament's building and the government compound in Kiev.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR8969;2018-09-05;Violence against civilians;Attack;3.49;0;On 6 September 2018, in Kyiv, unidentified youth group stabbed a young man 3 times with knife due to him looking 'gay'. 5 suspects were detained.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR9003;2018-09-06;Strategic developments;Change to group/activity;0.51;0;On 6 September 2018, The head of the National Police, Serhiy Knyazyev, has said that Russia arms rebels in east Ukraine with weapons seized during the annexation of Crimea. Over these four years, police have registered 60 cases of seizing Crimean weapons from rebels, including 51 assault rifles, 15 pistols, two grenade launchers and one carbine. Police have opened a criminal case against the Russian Federation according to Part 2, Article 438 of the Criminal Code on using internationally illegal warfare methods.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR9119;2018-09-09;Strategic developments;Change to group/activity;3.49;0;On 9 September 2018, in Kyiv, an arms cache was uncovered by police in Kiev, the Interfax-Ukraine news agency reported on 9 September. It contained four grenade launchers, 2 kg of explosives and 200 AK rifle cartridges, the Kiev police said. According to police information, the weapons were brought to Kiev by an army volunteer in 2014-16.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR9231;2018-09-12;Strategic developments;Other;3.49;0;On 12 September 2018, in Kyiv, official start of procedures of creation Ukrainian (national) Orthodox Church. The event signifies a peak of struggle of Ukrainians to break away from religious monopoly of Moscow. Metropolitan Emmanuel of France, a hierarch of the Ecumenical Church of Constantinople, told the Italian Catholic agency SIR that the procedures for creating an autocephalous local [national] Church in Ukraine had begun.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR9524;2018-09-18;Strategic developments;Change to group/activity;3.49;0;On 18 September 2018, in Kyiv, Kiev police have detained a man suspected of selling weapons illegally brought from the combat zone in Donbass. The man was detained while trying to sell an AKSU rifle, two hand grenades, two grenade launchers and two Skorpion submachine guns.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR9836;2018-09-25;Strategic developments;Change to group/activity;3.49;0;From 25th to 29 September 2018, UAF conducts military drills 'Kozatska Volia 2018' in various regions of Ukraine.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR9984;2018-09-28;Violence against civilians;Attack;3.49;0;On 28 September 2018, in Kyiv, around 30 young men, most of whom had Sich insignia on their clothes, present in the courtroom during the trial of a journalist being accused of treason. The SMM heard the young men verbally insulting the journalist and his defence team and saw small objects being thrown at them. Later, ten police officers in riot gear entered the courtroom, at which point the disruptions ceased.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR10035;2018-09-29;Strategic developments;Looting/property destruction;3.49;0;On 29 September 2018, in Kyiv, the office of a member of parliament had been damaged by unidentified people.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR38230;2018-10-26;Violence against civilians;Attack;0.51;0;On 26 October 2018, unidentified individuals attacked a member of Radical Party near his house in Kiev. They broke his nose and jaw and caused him a concussion. The party connects the attack to the victim's protest activity.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR12871;2018-11-28;Strategic developments;Change to group/activity;0.51;0;As reported on Nov. 28 2018, in Kiev, the Security Service of Ukraine uncovered an organised group, which was assembling and illegally selling weapons, and seized 8 illegal firearms. Members of the group included a National Guard serviceman who was arrested.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR12924;2018-11-29;Violence against civilians;Attack;0.51;0;On Nov. 29 2018, after the arrest of the Ukrainian blogger Oleksandr Baraboshko in Kiev, Ukraine, members of the military prosecutor's office inflicted light bodily injuries on him and tried to obtain evidence by force.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR29684;2018-11-30;Violence against civilians;Attack;0.51;0;On 30 November 2018, unidentified individuals followed to the house and tried to stab a Donbass veteran and members of Traditions and Order in Kyiv. The attackers cut the veteran's face and clothes with a knife and escaped.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR13224;2018-12-06;Strategic developments;Other;3.49;0;Around 06 December 2018, the draft law on the termination of the treaty of friendship between Ukraine and the Russian Federation was adopted in the Vekhovna Rada in Kiev.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR13539;2018-12-13;Strategic developments;Change to group/activity;0.51;0;As reported on Dec. 13 2018, in Kiev, the Security Service of Ukraine uncovered an organised group, which was illegally preparing, re-equipping and selling weapons, and seized 20 illegal firearms and 2500 rounds of various types of ammunition. Participants of the group included active members of the Podilskyy district directorate of the National Police in Kiev.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR13596;2018-12-14;Strategic developments;Change to group/activity;0.51;0;As reported on Dec. 14 2018, the Security Service of Ukraine confiscated 21 F-1 hand grenades, 3 RGD-5 grenades, 15 grenades for a VOG underbarrel grenade launcher and over 3 kg of TNT from a man near Kiev, Ukraine.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR15081;2019-01-22;Strategic developments;Looting/property destruction;3.49;0;On Jan. 22 2019, an unidentified person acted aggressively towards electioneers of the People's Front party and completely demolished their campaigning tent near the Palats Ukrayina metro station in Kiev.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR15449;2019-02-01;Strategic developments;Other;3.88;0;On Feb. 1 2019, at night, an unidentified person fired a gunshot at the windows of the regional office of the National Union of Journalists of Ukraine in the Kiev city centre.;Kyiv - Shevchenkivskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR28221;2019-02-12;Strategic developments;Looting/property destruction;3.88;0;On 12 February 2019, unidentified individuals broke the window of a car of the Kiev city council from Svoboda party and the head of Sokil in Kiev, threw incendiary mixture inside and set it to fire. The car burned down, no injuries were reported.;Kyiv - Shevchenkivskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR16471;2019-02-22;Strategic developments;Looting/property destruction;0.51;0;On 22 February 2019, unidentified persons burned down a car of a journalist in Kiev, Ukraine. No injuries or fatalities were reported. The journalist blames a military prosecutor who previously threatened him with beating or burning his car for writing posts about the prosecutor and his family.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR16867;2019-03-06;Strategic developments;Disrupted weapons use;0.51;0;As reported on 6 March, the police seized six pistols, four carbines, a sniper rifle, seven RGD-5 grenades, an anti-personnel mine, 642 grams of plastic explosive and 448 rounds of ammunition from a group of people in Kiev, Ukraine.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR17369;2019-03-18;Strategic developments;Looting/property destruction;3.88;0;On 18 March 2019, an unidentified person threw incendiary mixture setting fire to a 'Roshen' store [a corporation belonging to President Poroshenko] in the centre of Kiev. No injuries or fatalities were reported.;Kyiv - Shevchenkivskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR19005;2019-04-21;Battles;Armed clash;3.88;0;On 21 April 2019, an unidentified man pushed a police officer away from a police car, sat in a vehicle and ran over the officer causing her serious injuries in central Kiev. The man was arrested.;Kyiv - Shevchenkivskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR25015;2019-05-04;Violence against civilians;Attack;0.51;1;On 4 May 2019, a son of a former deputy mayor of Horlivka and now a member of the DPR government was shot dead in his apartment in Kiev.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR24440;2019-08-26;Explosions/Remote violence;Shelling/artillery/missile attack;3.88;0;"On 26 August 2019, unidentified individual fired grenade launcher at an office building in central Kiev. The building was damaged, no injuries or fatalities were reported. One of the offices that received the most impact from the explosion belongs to a former Parliament's deputy from the Party of Regions; another one belongs to Ukraine's largest bridge construction company.";Kyiv - Shevchenkivskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR24553;2019-08-29;Violence against civilians;Attack;3.88;0;On 29 August 2019, a former Ukrainian soldier attacked and beat an openly gay Donbass veteran in central Kiev.;Kyiv - Shevchenkivskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR24746;2019-09-07;Strategic developments;Agreement;0.51;0;On 7 September 2019, Ukraine and Russia exchanged 35 prisoners from each side. Among the prisoners released by Russia are Ukrainian filmmaker Sentsov and 24 Ukrainian sailors whose imprisonment sparked numerous demonstrations in Ukraine. Among those handed over to Moscow are Ukrainian and Russian citizens involved in the conflict in Eastern Ukraine including a witness in MH17 commercial flight downing case.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR26276;2019-10-01;Strategic developments;Agreement;0.51;0;On 1 October 2019, the Trilateral Contact Group on Ukraine agreed on the so-called 'Steinmeier formula' during the negotiations in Minsk that foresees that a law on the special status of Donbass comes into force from the day the non-government-controlled Luhansk and Donetsk hold democratic elections in accordance with the Ukrainian law and OSCE standards. The parties also agreed to start the disengagement of forces in Zolote and Petrovskoye areas on 7 October [coded to Kiev, Ukraine].;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR27490;2019-10-24;Violence against civilians;Attack;0.51;0;On 24 October 2019, three people beat up a Stop Corruption activist in Kiev.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR28644;2019-11-08;Violence against civilians;Attack;0.51;0;On 8 November 2019, a group of people in military uniform broke into an attorney's house in Kyiv Region, beat and tied down him and his family, including his child, and stole his case files.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR28697;2019-11-13;Strategic developments;Looting/property destruction;3.49;0;On 13 November 2019, at night, four unidentified people shot several times at windows of a shop of a Russian footwear brand and painted an ethnic slur in front of it.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR29691;2019-12-01;Violence against civilians;Attack;3.88;1;On 1 December 2019, unidentified individuals fired at the car of a Kyiv regional council deputy from European Solidarity party in central Kyiv when he and his family were inside. The bullet killed a 3-year-old son of the deputy. The deputy was previously accused of affiliation with businesses that finance rebel groups in Eastern Ukraine. Two arrested suspects used to fight on the side of the Ukrainian military in Donbass.;Kyiv - Shevchenkivskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR34401;2020-03-12;Strategic developments;Looting/property destruction;0.51;0;On 12 March 2020, unidentified individuals set fire to a car of the acting head of State Environmental Inspectorate near his apartment in Kyiv. The car was destroyed, no injuries were reported. The victim connects the arson to his activities as the state official, in particular his high fines for polluters and anti-corruption measures.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR34673;2020-03-17;Strategic developments;Change to group/activity;0.51;0;Security measures: On 17 March 2020, the government of Ukraine in Kiev enacted measures to limit the spread of coronavirus - including a ban on gatherings exceeding 10 people and shutting down stores and other public places except those that sell food or medicine. On 22 May 2020, the government of Ukraine eased the quarantine restrictions.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR35894;2020-04-14;Strategic developments;Arrests;0.51;0;On 14 April 2020, in Kyiv, the Security Service of Ukraine (SBU) counterintelligence arrested an SBU major general Shaitanov on charges of high treason: spying for the Russian FSB and arranging attacks on Ukrainian volunteers as part of the FSB's reconnaissance and sabotage operations inside Ukraine.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR36942;2020-05-07;Violence against civilians;Attack;0.51;0;On 7 May 2020, according to the victims, two Donbas veterans from the Azov Battalion were severely beaten by members of National Corps in Kyiv for their support of Serhiy Sternenko - a former member of Right Sector who stabbed in self-defence one of his attackers during the third attack on his life. The leader of National Corps denies these accusations, although confirms the meeting with the two veterans.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR39752;2020-07-10;Strategic developments;Looting/property destruction;3.49;0;Property destruction: On 10 July 2020, members of an anarchist group set fire to a police department in Kiev-Pecherskyi. No injuries were reported.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR39659;2020-07-17;Explosions/Remote violence;Remote explosive/landmine/IED;3.88;0;On 17 July 2020, an unidentified explosive device went off near a metro station in Kiev-Shevchenkivskyi. One person was severely wounded, three others received minor injuries.;Kyiv - Shevchenkivskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR39747;2020-07-21;Violence against civilians;Attack;3.49;0;On 21 July 2020, two Donbas veterans doused an MP from Opposition Platform - For Life party with a chemical disinfectant Zelyonka and threw eggs at him outside the Parliament in Kiev-Pecherskyi for his words that Ukraine does not have sovereignty.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR40135;2020-08-09;Strategic developments;Disrupted weapons use;3.49;0;Defusal: On 9 August 2020, the police defused an IED planted near an office of the Opposition Platform - For Life party in Kiev-Pecherskyi.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR40235;2020-08-25;Violence against civilians;Attack;3.49;0;On 25 August 2020, members of Patriots - For Life organisation shot at a group of Donbas veterans from Azov Battalion in Kiev-Pecherskyi wounding one of them.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR40264;2020-08-28;Strategic developments;Looting/property destruction;0.51;0;Property destruction: On 28 August 2020, unidentified individuals set fire to a car of a member of Parliament from the Servant of the People party in Kiev. No injuries were reported.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR40917;2020-10-16;Violence against civilians;Attack;0.51;0;On 16 October 2020, unidentified individuals severely beat in Kiev a Ukrainian activist and Donbas veteran who was imprisoned by DPR for almost 3 years.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR41068;2020-10-30;Violence against civilians;Attack;0.51;0;On 30 October 2020, an unidentified individual attacked with a knife or a piece of glass a journalist near his house in Kiev and cut his face.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR41406;2020-11-26;Strategic developments;Disrupted weapons use;3.49;0;Weapons seizure: On 26 November 2020, the police found and seized a cache of weapons in Kiev-Pecherskyi, including four grenade launchers, two assault rifles, almost 40 grenades, several pistols, two artillery shells, and a large number of cartridges for assault rifles.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR41745;2020-12-04;Violence against civilians;Attack;3.49;0;On 4 December 2020, an unidentified person attacked and beat a LGBT activist in Kiev-Pecherskyi. The victim connects the attack to his recent activities in support of LGBT community.;Kyiv - Pecherskyi
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR42103;2020-12-09;Strategic developments;Change to group/activity;0.51;0;Security measures: On 9 December 2020, the government of Ukraine in Kiev enacted measures to limit the spread of coronavirus - including shutting down stores and other public places except those that sell food or medicine.;Kyiv
1;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;UKR43611;2021-03-24;Violence against civilians;Attack;0.51;1;On 24 March 2021, unidentified persons abducted and killed in Kiev a veteran of the war in eastern Ukraine. The alleged reason could be that he was systematically combating raiders who were illegally occupying other people's flats in Kiev. Police started a criminal case.;Kyiv
