UNESCO_Site;UNESCO_Category;Event_Date;Attack_Type;Distance_m;Danger_Score;Violation_Risk_Level;ACLED_Notes
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-04-20;Disrupted weapons use;514.5;1;High (Negligence Risk);Weapons seizure: Around 20 April 2018, the Security Service of Ukraine exposed an organized group in Kiev that established the illegal export of weapons and ammunition from the ATO area. During the investigation it was established that former members of one of the volunteer battalions sent weapons and parts of ammunition for assembling and manufacturing in one of the workshops in Kiev to be used for further re-sale in the capital region and to members of criminal circles throughout Ukraine. The SBU seized four anti-tank grenade launchers, 30 grenades, two large-calibre projectiles, three kilograms of plastid, three detonators, six rifles, three automatic weapons, 37 pistols and traumatic guns and almost 15,000 ammunition rounds.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-04-20;Disrupted weapons use;514.5;1;High (Negligence Risk);Weapons seizure: Around 20 April 2018 (as reported), the Security Service of Ukraine stopped the activities of an international group that supplied weapons to Ukraine from Europe and the United States. During the investigation it was established that a resident of Kiev had established a channel for the supply of spare parts for pistols and automatic devices which were brought into Ukraine by couriers and later assembled in workshops for use in combat. The SBU seized three machine guns, three assault rifles, two rifles, seven submachine guns, 30 pistols and revolvers, eight grenade launchers, 32 grenades, five mines, 3,240 ammunition rounds and assembly kits pistols.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-05-01;Disrupted weapons use;514.5;1;High (Negligence Risk);Weapons seizure: On 1 May 2018, Ukrainian law enforcers have discovered a package with arms and ammunition on Trukhaniv Island in Kiev which contained four grenades, detonators, five TNT blocks, 10 projectiles for a grenade launcher, five cartridges for a rifle and about 1,500 rounds of ammunition.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-05-08;Change to group/activity;514.5;1;High (Negligence Risk);Security measures: On 8 May 2018, the Security Service of Ukraine carried out searches at home of the Ukrainian Communist Party leader Petro Symonenko in Kiev and recovered campaign leaflets calling for constitutional change or government overthrow or takeover, and seized items looking like a Stechkin pistol with a silencer and 120 cartridges. Symonenko had been summoned for questioning as part of a criminal inquiry into 'actions aimed at violent change or overthrow of the constitutional system or seizure of government power' and 'high treason,' according to the SBU spokeswoman Olena Hytlyanska. Later in the day SBU officers raided the homes of senior Communists in and around Kyiv and recovered campaign materials containing banned Communist symbols.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-05-17;Attack;514.5;5;High (Negligence Risk);On 17 May 2018, unidentified individuals attacked a Donbas veteran in Kiev who had become famous for his travel blog, in particular, after he published a video of arguing with and spitting in the face of a pro-Kremlin Russian journalist. The victim sustained injuries to his head.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-05-30;Arrests;514.5;1;High (Negligence Risk);On 30 May 2018, in Kiev, Ukrainian authorities detained a Ukrainian citizen, Borys Herman, accused of being recruited by Russia's secret services to organize a murder plot against self-exiled Russian reporter and Kremlin critic Arkady Babchenko. Ukraine's Security Service (SBU) says it thwarted the planned killing by working together with Babchenko to fake his death. Ukrainian authorities also said a total of up to 30 people in Ukraine had been targeted for killing as part of the alleged Russian plot. Both SBU officials and Babchenko have defended their decision to fake Babchenko's death - rejecting criticism from reporters and journalism advocates who warned that it has undermined the credibility of law enforcement agencies and independent media organizations.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-06-21;Attack;514.5;5;High (Negligence Risk);Around 21 June 2018 (between 18 June - 24 June), more than 20 LGBT activists and volunteers of the March of Equality were assaulted and beaten in Kiev.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-08-06;Looting/property destruction;514.5;1;High (Negligence Risk);Property destruction: On 6 August 2018, unidentified individuals tried to break into the house of a TV journalist and her parents outside Kiev by breaking the door, however fled when neighbours called the police. One of the attackers was identified as a member of a Chechen criminal group and was placed on the wanted list.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-08-15;Disrupted weapons use;514.5;1;High (Negligence Risk);Weapons seizure: On 15 August 2018, in Kiev, law enforcers uncovered an arms cache in a garage cooperative, belonging to a former Kiev-2 battalion serviceman, with a large quantity of firearms, ammunition and explosives.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-09-06;Change to group/activity;514.5;1;High (Negligence Risk);On 6 September 2018, The head of the National Police, Serhiy Knyazyev, has said that Russia arms rebels in east Ukraine with weapons seized during the annexation of Crimea. Over these four years, police have registered 60 cases of seizing Crimean weapons from rebels, including 51 assault rifles, 15 pistols, two grenade launchers and one carbine. Police have opened a criminal case against the Russian Federation according to Part 2, Article 438 of the Criminal Code on using internationally illegal warfare methods.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-10-26;Attack;514.5;5;High (Negligence Risk);On 26 October 2018, unidentified individuals attacked a member of Radical Party near his house in Kiev. They broke his nose and jaw and caused him a concussion. The party connects the attack to the victim's protest activity.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-11-28;Change to group/activity;514.5;1;High (Negligence Risk);As reported on Nov. 28 2018, in Kiev, the Security Service of Ukraine uncovered an organised group, which was assembling and illegally selling weapons, and seized 8 illegal firearms. Members of the group included a National Guard serviceman who was arrested.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-11-29;Attack;514.5;5;High (Negligence Risk);On Nov. 29 2018, after the arrest of the Ukrainian blogger Oleksandr Baraboshko in Kiev, Ukraine, members of the military prosecutor's office inflicted light bodily injuries on him and tried to obtain evidence by force.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-11-30;Attack;514.5;5;High (Negligence Risk);On 30 November 2018, unidentified individuals followed to the house and tried to stab a Donbass veteran and members of Traditions and Order in Kyiv. The attackers cut the veteran's face and clothes with a knife and escaped.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-12-13;Change to group/activity;514.5;1;High (Negligence Risk);As reported on Dec. 13 2018, in Kiev, the Security Service of Ukraine uncovered an organised group, which was illegally preparing, re-equipping and selling weapons, and seized 20 illegal firearms and 2500 rounds of various types of ammunition. Participants of the group included active members of the Podilskyy district directorate of the National Police in Kiev.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2018-12-14;Change to group/activity;514.5;1;High (Negligence Risk);As reported on Dec. 14 2018, the Security Service of Ukraine confiscated 21 F-1 hand grenades, 3 RGD-5 grenades, 15 grenades for a VOG underbarrel grenade launcher and over 3 kg of TNT from a man near Kiev, Ukraine.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2019-02-22;Looting/property destruction;514.5;1;High (Negligence Risk);On 22 February 2019, unidentified persons burned down a car of a journalist in Kiev, Ukraine. No injuries or fatalities were reported. The journalist blames a military prosecutor who previously threatened him with beating or burning his car for writing posts about the prosecutor and his family.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2019-03-06;Disrupted weapons use;514.5;1;High (Negligence Risk);As reported on 6 March, the police seized six pistols, four carbines, a sniper rifle, seven RGD-5 grenades, an anti-personnel mine, 642 grams of plastic explosive and 448 rounds of ammunition from a group of people in Kiev, Ukraine.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2019-05-04;Attack;514.5;5;High (Negligence Risk);On 4 May 2019, a son of a former deputy mayor of Horlivka and now a member of the DPR government was shot dead in his apartment in Kiev.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2019-09-07;Agreement;514.5;1;High (Negligence Risk);On 7 September 2019, Ukraine and Russia exchanged 35 prisoners from each side. Among the prisoners released by Russia are Ukrainian filmmaker Sentsov and 24 Ukrainian sailors whose imprisonment sparked numerous demonstrations in Ukraine. Among those handed over to Moscow are Ukrainian and Russian citizens involved in the conflict in Eastern Ukraine including a witness in MH17 commercial flight downing case.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2019-10-01;Agreement;514.5;1;High (Negligence Risk);On 1 October 2019, the Trilateral Contact Group on Ukraine agreed on the so-called 'Steinmeier formula' during the negotiations in Minsk that foresees that a law on the special status of Donbass comes into force from the day the non-government-controlled Luhansk and Donetsk hold democratic elections in accordance with the Ukrainian law and OSCE standards. The parties also agreed to start the disengagement of forces in Zolote and Petrovskoye areas on 7 October [coded to Kiev, Ukraine].
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2019-10-24;Attack;514.5;5;High (Negligence Risk);On 24 October 2019, three people beat up a Stop Corruption activist in Kiev.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2019-11-08;Attack;514.5;5;High (Negligence Risk);On 8 November 2019, a group of people in military uniform broke into an attorney's house in Kyiv Region, beat and tied down him and his family, including his child, and stole his case files.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2020-03-12;Looting/property destruction;514.5;1;High (Negligence Risk);On 12 March 2020, unidentified individuals set fire to a car of the acting head of State Environmental Inspectorate near his apartment in Kyiv. The car was destroyed, no injuries were reported. The victim connects the arson to his activities as the state official, in particular his high fines for polluters and anti-corruption measures.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2020-03-17;Change to group/activity;514.5;1;High (Negligence Risk);Security measures: On 17 March 2020, the government of Ukraine in Kiev enacted measures to limit the spread of coronavirus - including a ban on gatherings exceeding 10 people and shutting down stores and other public places except those that sell food or medicine. On 22 May 2020, the government of Ukraine eased the quarantine restrictions.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2020-04-14;Arrests;514.5;1;High (Negligence Risk);On 14 April 2020, in Kyiv, the Security Service of Ukraine (SBU) counterintelligence arrested an SBU major general Shaitanov on charges of high treason: spying for the Russian FSB and arranging attacks on Ukrainian volunteers as part of the FSB's reconnaissance and sabotage operations inside Ukraine.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2020-05-07;Attack;514.5;5;High (Negligence Risk);On 7 May 2020, according to the victims, two Donbas veterans from the Azov Battalion were severely beaten by members of National Corps in Kyiv for their support of Serhiy Sternenko - a former member of Right Sector who stabbed in self-defence one of his attackers during the third attack on his life. The leader of National Corps denies these accusations, although confirms the meeting with the two veterans.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2020-08-28;Looting/property destruction;514.5;1;High (Negligence Risk);Property destruction: On 28 August 2020, unidentified individuals set fire to a car of a member of Parliament from the Servant of the People party in Kiev. No injuries were reported.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2020-10-16;Attack;514.5;5;High (Negligence Risk);On 16 October 2020, unidentified individuals severely beat in Kiev a Ukrainian activist and Donbas veteran who was imprisoned by DPR for almost 3 years.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2020-10-30;Attack;514.5;5;High (Negligence Risk);On 30 October 2020, an unidentified individual attacked with a knife or a piece of glass a journalist near his house in Kiev and cut his face.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2020-12-09;Change to group/activity;514.5;1;High (Negligence Risk);Security measures: On 9 December 2020, the government of Ukraine in Kiev enacted measures to limit the spread of coronavirus - including shutting down stores and other public places except those that sell food or medicine.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-03-24;Attack;514.5;5;High (Negligence Risk);On 24 March 2021, unidentified persons abducted and killed in Kiev a veteran of the war in eastern Ukraine. The alleged reason could be that he was systematically combating raiders who were illegally occupying other people's flats in Kiev. Police started a criminal case.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-04-18;Looting/property destruction;514.5;1;High (Negligence Risk);Property destruction: On 18 April 2021, unknown individuals damaged the doors of the reception office of the Democratic Axe Party in Kiev and poured paint on them. The members of the Democratic Axe suspect that the provocation was organised by the president's adviser in response to criticism by party members of his activities.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-05-18;Attack;514.5;5;High (Negligence Risk);On 18 May 2021, a police officer severely beat underage youths while detaining them in Kiev.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-05-19;Attack;514.5;5;High (Negligence Risk);On 19 May 2021, police severely beat and detained an artist in Kiev. According to the victim, he had his nose smashed for no reason and was kept outside for several hours.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-06-04;Attack;514.5;5;High (Negligence Risk);On 4 June 2021, unidentified individuals attacked the deputy chairman of the National Agency for Identifying, Tracing and Managing Assets Obtained through Corruption and Other Crimes in Kiev, when he was off duty. The victim sustained a gunshot wound.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-06-18;Disrupted weapons use;514.5;1;High (Negligence Risk);"Weapons seizure: On 18 June 2021, the Security Service of Ukraine seized a cache of weapons on the territory of the municipal enterprise Municipal Guard in Kiev, consisting of RPG-22 grenade launcher; 400 g of TNT, 2 cases of RGD-5 grenades, a U.S.-made KRISS semi-automatic pistol of 9*21 mm caliber, almost a hundred rounds of various calibers, a significant amount of hunting rifled weapons."
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-06-22;Looting/property destruction;514.5;1;High (Negligence Risk);Property destruction: On 22 June 2021, unidentified individuals set fire to an activist's car in Kiev. The victim connects the arson to his activities against the illegal construction on the site of a park.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-06-30;Attack;514.5;5;High (Negligence Risk);On 30 June 2021, unidentified individuals, allegedly far-right activists attacked and beat in Kiev a former Kharkiv separatist, who has several times avoided attending the trial for kidnapping during the Revolution of Dignity.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-08-24;Attack;514.5;5;High (Negligence Risk);On 24 August 2021, an unidentified individual poured brilliant green [chemical desinfectant, Zelyonka] on former Ukrainian President Petro Poroshenko in Kiev. The victim was hospitalized with burns to his eyes.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-08-26;Looting/property destruction;514.5;1;High (Negligence Risk);Property destruction: On 26 August 2021, a man threw a Molotov cocktail at the entrance of the ombudsman's office in Kiev, as a result of which the doors of the premises were damaged. None of the workers and visitors was injured. Ombudsman believed that an NGO that opposes her work and position on equal rights of all citizens of Ukraine could be behind this incident. The attacker was detained.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-09-30;Attack;514.5;5;High (Negligence Risk);On 30 September 2021, an unknown individual fired at the vehicle of a Head of the State Archive Service in Kiev who was not in the car at the moment of the attack. His driver was wounded in the incident and hospitalized.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2021-10-22;Looting/property destruction;514.5;1;High (Negligence Risk);Property destruction: On 22 October 2021, an unidentified individual tried to set fire to the house of the deputy head of the Office of the President in charge of European integration in Kiev with a Molotov cocktail.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-01-06;Attack;514.5;5;High (Negligence Risk);On 6 January 2022, officers of Ukrainian Special Forces broke into an apartment and beat activists of Democratic Choice of Kazakhstan in Kiev, accusing them of coordinating the protests in Kazakhstan.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-01-14;Other;514.5;1;High (Negligence Risk);Other: On 14 January 2022, a massive cyber attack was carried out against Ukrainian information resources [coded to Kiev]. About 70 websites of central and regional authorities, including Ministry of Foreign Affairs and Energy Ministry, were affected. The attackers left anti-Ukrainian messages on some of the websites. Some of the websites were disabled to prevent the spreading of the attack to other resources.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-01-19;Looting/property destruction;514.5;1;High (Negligence Risk);Property destruction: On 19 January 2022, unidentified people fired at the editorial office of well-known journalist Dmytro Gordon in Kiev. As a result, the windows were damaged. The journalist connects the incident with his professional activities.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-01-28;Attack;514.5;5;High (Negligence Risk);On 28 January 2022, an unidentified person attacked and beat a journalist of Stop Corruption in Kiev. The victim connects the attack with his professional activities.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-10;Disrupted weapons use;514.5;1;High (Negligence Risk);Weapons seizure: Around 10 February 2022 (as reported), the Security Service seized a vehicle, flammable materials and pyrotechnical materials from a Belarusian man in Kyiv, suspected of working with Belarus KGB. The man is suspected of organizing protests and of planning an arson attack.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-23;Change to group/activity;514.5;1;High (Negligence Risk);Security measures: On 23 February 2022, Verkhovna Rada in Kyiv supported the proposal of the National Security and Defense Council to introduce a state of emergency on the entire territory of Ukraine, except for Donetsk and Luhansk regions.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-23;Other;514.5;1;High (Negligence Risk);Other: On 23 February 2022, a massive cyber attack was carried out against Ukrainian information resources [coded to Kyiv]. Websites of a number of government and banking institutions were affected.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-24;Shelling/artillery/missile attack;514.5;8;High (Negligence Risk);On 24 February 2022, Ukrainian forces downed a Russian aircraft over Kyiv (Kyiv region). Casualties unknown.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-24;Change to group/activity;514.5;1;High (Negligence Risk);Security measures: On 24 February 2022, President of Ukraine in Kyiv signed a decree, which was approved by Verkhovna Rada, on the introduction of martial law in Ukraine. This decision was taken due to Russia's military aggression against Ukraine. On 2 May 2023, Verkhovna Rada of Ukraine in Kyiv prolonged the martial law in Ukraine.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-24;Shelling/artillery/missile attack;514.5;8;High (Negligence Risk);On 24 February 2022, the military forces of Russia launched a rocket attack on Kyiv, starting full-scale aggression against Ukraine. There were no injuries or fatalities.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-24;Shelling/artillery/missile attack;514.5;8;High (Negligence Risk);On 24 February 2022, the Russian military forces shot down a Ukrainian military aircraft in Kyiv region. Five people were killed.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-24;Other;514.5;1;High (Negligence Risk);Other: On 24 February 2022, Ukraine broke off diplomatic relations with Russia after the start of a military operation and rocket attacks on a number of Ukrainian cities on February 24, 2022. [coded to Kyiv].
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-25;Shelling/artillery/missile attack;514.5;8;High (Negligence Risk);On 25 February 2022, Ukrainian forces downed two Russian Il-76 transport aircraft over Kyiv. Casualties unknown.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-25;Armed clash;514.5;4;High (Negligence Risk);On 25 February 2022, there was an armed clash between the Russian military forces and the Ukrainian military forces in Kyiv. The Russian forces also fired with heavy weapons and launched rockets at residential buildings in several districts of the city. As a result of the shelling, four civilians died.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-26;Armed clash;514.5;4;High (Negligence Risk);On 26 February 2022, Ukrainian forces clashed with Russian forces north-east of Kyiv. Ukrainian forces halted 14 Russian BTGs, preventing them from reaching the capital. Casualties unknown.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-27;Disrupted weapons use;514.5;1;High (Negligence Risk);Interception: On 27 February 2022, the Ukrainian air force shot down a Russian missile in Kyiv region. There were no casualties.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-27;Armed clash;514.5;4;High (Negligence Risk);On 27 February 2022, a Ukrainian aircraft shot down two Russian helicopters to the north of Kyiv. Casualties unknown.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-27;Attack;514.5;5;High (Negligence Risk);On 27 February 2022, diversionary group of the Russian soldiers opened fire on a civilian car carrying a family with three children in Kyiv. The parents and one child were killed.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-27;Attack;514.5;5;High (Negligence Risk);On 27 February 2022, Russian military forces shot at a civilian car and killed a priest of Ukrainian Orthodox Christian Church in Kyiv region.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-02-28;Shelling/artillery/missile attack;514.5;8;High (Negligence Risk);On 28 February 2022, the Russian military forces launched missiles at Kyiv. One of the missiles was intercepted by the Ukrainian military. Three people were wounded.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-03-01;Change to group/activity;514.5;1;High (Negligence Risk);Change to armed group: On 1 March 2022, a unit of Belarusian volunteers joined the Azov territorial defense battalion. [coded to Kyiv]
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-03-01;Armed clash;514.5;4;High (Negligence Risk);On 1 March 2022, late evening, two Ukrainian Mig-29, aided by C-300 missile systems, shot down two Su-35 Russian fighter jets in Kyiv oblast, Kyiv. One Ukrainian jet was also shot down, the pilot was missing. Casualties unknown.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-03-01;Attack;514.5;5;High (Negligence Risk);On 1 March 2022, Ukrainian Military forces shot and killed an Israeli man at a checkpoint outside of Kyiv, mistaking the man for a Chechen fighter.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-03-01;Shelling/artillery/missile attack;514.5;8;High (Negligence Risk);On 1 March 2022, Russian forces shelled a functioning private maternity hospital in Kyiv causing great material damage. Everyone has been evacuated, no casualties.
Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;World Heritage List;2022-03-02;Shelling/artillery/missile attack;514.5;8;High (Negligence Risk);On 2 March 2022, National Guard troops, along with regular troops, fired artillery and Buk M-1 at a Russian Sukhoi-30 fighter jet, shooting it down near Kyiv. Casualties unknown.
