id;category;name;QID;type;inscription_year;criteria;location;description;transnational;danger_list;danger_list_year;coordinates;extensions
23;Tentative List;Tyras - Bilhorod (Akkerman), on the way from the Black Sea to the Baltic Sea;Q1968086;Natural;;;Ternopil and Chernivtsi Oblasts;Unique natural canyon landscape along the Dniester River.;;;;;
24;Tentative List;Danube Biosphere Reserve;Q7277101;Natural;;;Odesa Oblast;Important wetland ecosystem at the Danube Delta.;;;;;
25;State of Conservation;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;Q16363487;2023 Report;;;;Under permanent threat since February 24 2022. Inscribed on List of World Heritage in Danger September 2023. Physical damage in buffer zone. Management plan development stalled due to war.;;;;;
26;State of Conservation;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;Q16363487;2024 Report;;;;Continued monitoring and protection efforts. Ongoing threats from armed conflict. Emergency preparedness measures implemented.;;;;;
27;State of Conservation;Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra;Q16363487;2025 Report;;;;Report submitted by State Party. Assessment ongoing.;;;;;
28;State of Conservation;L'viv – the Ensemble of the Historic Centre;Q2592613;2023 Report;;;;Inscribed on List of World Heritage in Danger September 2023. Under permanent threat since February 24 2022. Vulnerable to shockwaves from bombing. Multiple protection measures implemented by Ukrainian authorities.;;;;;
29;State of Conservation;L'viv – the Ensemble of the Historic Centre;Q2592613;2024 Report;;;;Continued protection and monitoring. Emergency response protocols in place. Training for cultural professionals.;;;;;
30;State of Conservation;L'viv – the Ensemble of the Historic Centre;Q2592613;2025 Report;;;;Report submitted by State Party. Assessment ongoing.;;;;;
31;State of Conservation;The Historic Centre of Odesa;Q15041608;2023 Report;;;;Inscribed simultaneously on World Heritage List and List of World Heritage in Danger January 25 2023. Significant damage from aerial assaults including July 2023 strikes affecting museums. 52 cultural properties reported damaged of which 47 verified by UNESCO mission.;;;;;
32;State of Conservation;The Historic Centre of Odesa;Q15041608;2024 Report;;;;Major attacks November 14-15 2024 damaged historic buildings within property boundaries. Management plan development in progress with UNESCO-ICOMOS support. UNESCO-Japan Funds-in-Trust project providing USD 5.9 million for monitoring and emergency response. UNESCO-Italy project USD 530000 for protective roof on Transfiguration Cathedral.;;;;;
33;State of Conservation;The Historic Centre of Odesa;Q15041608;2025 Report;;;;Report submitted by State Party. Ongoing protection and rehabilitation efforts.;;;;;
34;State of Conservation;Ancient City of Tauric Chersonese and its Chora;Q64532917;2016 Report;;;;Critical state of conservation of ruins with high dilapidation. Some structures close to collapse. Located in occupied Crimea restricting UNESCO access since 2014.;;;;;
35;State of Conservation;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;Q156011;2023 Report;;;;Monitoring challenges due to war. No direct conflict damage reported to Ukrainian components as of 2023.;;;;;
36;State of Conservation;Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe;Q156011;2025 Report;;;;Continued monitoring within security constraints.;;;;;
37;General Information;Total World Heritage Sites in Ukraine;;8;;;;7 cultural and 1 natural site. 3 sites currently on List of World Heritage in Danger (Kyiv, Lviv, Odesa). 3 sites are transnational.;;;;;
38;General Information;Total Tentative List Sites;;16;;;;16 sites on Tentative List awaiting nomination. Several located in occupied territories.;;;;;
39;General Information;Enhanced Protection List;;27;;;;25 sites added to International List of Cultural Property Under Enhanced Protection in 2023. 2 additional sites (Babyn Yar Memorial and Odesa Literary Museum) added December 2024. Total 27 sites under enhanced protection.;;;;;
40;General Information;Verified Damage;;343 sites (as of 2024);;;;UNESCO verified damage to 343 cultural sites as of February 2024: 31 museums 127 religious sites 151 buildings of historical/artistic interest 19 monuments 14 libraries 1 archive. Worst affected regions: Donetsk (88 sites) Kharkiv (56 sites) Odesa (49 sites) Kyiv (39 sites) Luhansk (34 sites).;;;;;
41;General Information;Recovery Costs;;USD 9 billion;;;;Estimated cost for recovery and reconstruction of culture and tourism sectors 2024-2033. Increased from USD 6.9 billion in 2023.;;;;;
42;General Information;UNESCO Funding;;USD 66 million;;;;UNESCO raised over USD 66 million from Member States and private sector over 2 years (2022-2024). Japan contributed almost USD 26 million.;;;;;
