id,category,name,author,type,date,year_incident,place_incident,google_maps_link,circumstances,url
5090,Painting,Late autumn / Piznia osin,Georgy Petrov,Painting,1992,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5090
5103,Painting,Sunday / Nedilia,Alexander Kalinsky,Painting,1991,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5103
5112,Painting,In Crimea / U Krymu,Pavlo Shulga,Painting,1991,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5112
5101,Painting,Tatar courtyard / Tatarskyi Dvoryk,Alexander Kalinsky,Painting,1989,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5101
4859,Painting,"Still Life ""To Red"" / Natiurmort ""Do сhervonogo""",Ivan Starenkov,Painting,1993,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4859
4852,Painting,Spring day / Vesnianyi den,Konstantin Shurupov,Painting,1967,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4852
4767,Painting,Bakhchisarai landscape / Bakhchysaraiskii peizazh,Yehor Tolkunov,Painting,1977,,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4767
4862,Painting,Peasant woman in a white scarf / Selianka u biliy khusttsi,Ivan Starenkov,Painting,1992,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4862
4907,Painting,Mushrooms and crayfish / Hryby ta raky,Grigory Kryzhevsky,Painting,1976,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4907
4879,Painting,Sedniv. Early spring / Sedniv. Rannia vesna,Anatolii Platonov,Painting,1982,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4879
5194,Painting,On the Koshova River / Na richtsi Kocheviy,Viktor Trapenok,Painting,1988,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5194
4670,Painting,Mexicans near the church / Meksykantsi bilia tserkvy,Elbek Mirza Hasan oglu Rzakuliev,Painting,1960,,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4670
5190,Painting,From the depths of centuries / Z glybyny stolit,Valery Mashnitsky,Painting,1998,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5190
5193,Painting,Textile worker Maria Nemchuk. Study / Tekstylnytsa Maria Nemchyk. Etud,Lazar Stirmer,Painting,1968,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5193
4708,Painting,Autumn flowers / Osinni kvity,Nadezhda Sirotenko,Painting,1980,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4708
4667,Painting,At home / U ridnoho domu,Anatoly Gorbenko,Painting,1976,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4667
5188,Painting,Tanya Borodina (music school student) / Tania Borodyna (studentka muzychnogo uchilysha),Lazar Stirmer,Painting,1961,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5188
5187,Painting,Gymnasts / Gimnasтky,Lazar Stirmer,Painting,1979,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5187
5191,Painting,Portrait of a participant in the Civil War Voloshyn N.L. / Portret uchasnyka gromadyanskoyi viynyi Volochyina N. L.,Valery Mashnitsky,Painting,1967,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5191
4746,Painting,Violist V. Grot / Altyst V. Hrot,Max Birstein,Painting,1983,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/4746
5181,Painting,"""The sky was already breathing autumn"" / ""Vzhe nebo osinniu dykhalo""",Leonid Brummer,Painting,1948,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5181
5185,Painting,Portrait of a woman in red (Oksana) / Portret zhinki v chervonomu (Oksana),Felix Kider,Painting,1985,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5185
5179,Painting,Self-portrait / Avtoportret,Leonid Brummer,Painting,1947,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5179
5184,Painting,Portrait of a father / Portret batka,Felix Kider,Painting,1985,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5184
5182,Painting,Tennis player / Tenisystka,Felix Kider,Painting,1979,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5182
5180,Painting,Evening in Kazakhstan / Vechir u Kazakhstani,Leonid Brummer,Painting,1947,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5180
5178,Painting,Vydubychi Monastery / Vydubets’kyy monastyr,Leonid Brummer,Painting,1912,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5178
5186,Painting,Kherson alfater / Khersonskiy alfater,Felix Kider,Painting,2001,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5186
5183,Painting,Female portrait (L. Popova) / Zhinochyy portret (L.Popova),Felix Kider,Painting,1982,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5183
5177,Painting,Enlightenment / Osiaiannia,Ksenia Stetsenko,Painting,2002,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5177
5175,Painting,Autumn still life / Osinniy natiurmort,Ksenia Stetsenko,Painting,2002,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5175
5173,Painting,In memory of Sergei Parajanov / Pam’yati Serhiya Paradzhanova,Ksenia Stetsenko,Painting,2002,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5173
5168,Painting,Portrait of a veteran of the Great Patriotic War Skotnikov V.P. / Portret veterana V.V.Viyny Skotnikova V.P.,Vladlen Vaganov,Painting,1974,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5168
5164,Painting,Autumn. Still life / Osin’. Natiurmort,Nikolay Troshin,Painting,1977,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5164
5163,Painting,Naberezhnye Chelny. Meleshenko A. and Meleshenko V. / Naberezhni Chelny. Meleshenko A. тa Meleshenko V.,Elena Tupikina,Painting,1975,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5163
5166,Painting,"Hayet (Life). From the series ""About the Earth"" / Khaiet (Zhyttia). Z serii ""Pro zemliu""",Horace Chernukhin,Painting,1975,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5166
5167,Painting,Memory / Pam’iat,Ivan Shatsky,Painting,1979,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5167
5174,Painting,Heat / Speka,Ksenia Stetsenko,Painting,2002,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5174
5165,Painting,Gurzuf / Hurzuf,Mikola Khvatov,Painting,1975,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5165
5169,Painting,Untitled / Bez Nazvy,Ivan Starenkov,Painting,2002,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5169
5161,Painting,Winners / Peremozhtsi,Ivan Stepanov,Painting,1968,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5161
5155,Painting,Evening / Vechir,Sergey Kapovsky,Painting,1980,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5155
5156,Painting,Infinity / Neskinchennist,Olga Bondarenko (Shkuropat),Painting,1996,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5156
5158,Painting,"A Tale of Relatives. The Dunaivtsi - 41. From the polyptych ""Legends"" / Opovidi pro rodychiv. Dunaivtsi – 41. Z poliptykhu ""Skazannia""",Felix Kider,Painting,1990,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5158
5162,Painting,Bay. Kazantip / Zatoka. Kazantyp,Petro Stolyarenko,Painting,,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5162
5159,Painting,"The Story of Diocletian. From the polyptych ""Legends"" / Opovidi pro Diokletiana. Z poliptykhu ""Skazannia""",Felix Kider,Painting,1993,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5159
5154,Painting,Natalia,Valentin Bernadsky,Painting,1983,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5154
5153,Painting,"Still life ""Song"" / Natiurmort ""Pisnia""",Tatiana Staroselska,Painting,XX,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5153
5160,Painting,"The story of the destroyed second temple. From the polyptych ""The Legend"" / Opovid pro zruinovanyi druhyi khram. Z poliptykhu ""Skazannia""",Felix Kider,Painting,1995,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5160
5152,Painting,In Arles (monastery) / V Arli (monastyr),Georgii Zaichenko,Painting,1992,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5152
5146,Painting,Old Kyiv courtyard / Staryi Kyivskyi dvir,Eduard Bazylianskyi,Painting,1992,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5146
5144,Painting,Flowers / Kvity,Olga Atroshchenko,Painting,1988,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5144
5141,Painting,Dry plains / Sukhi plavni,Viktor Trapenok,Painting,1991,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5141
5143,Painting,Still life with onions / Natiurmort z tsybuleiu,Igor Platonov,Painting,1988,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5143
5148,Painting,Nude / Oholena,Alexander Belyansky,Painting,1987,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5148
5151,Painting,Venice / Venetsiia,Georgii Zaichenko,Painting,1991,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5151
5149,Painting,Morning / Ranok,Alexey Fishchenko,Painting,1959,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5149
5145,Painting,Requiem - III / Rekviiem - III,Valery Radetsky,Painting,1991,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5145
5150,Painting,April 26 / 26 kvitnia,Vira Barynova-Kuleba,Painting,1991,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5150
5147,Painting,Morning village / Rankove selo,Vladimir Podlevsky,Painting,1990,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5147
5132,Painting,Egypt. Old city. Etude. / Yehypet. Stare misto. Etiud.,Danylo Bezuhlyi,Painting,1959,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5132
5138,Painting,Apricots have bloomed / Abrykosy zakvitly,Viktor Spirin,Painting,1990,2022,The Oleksii Shovkunenko Kherson Regional Art Museum,"https://maps.google.com/?q=46.62979067231111, 32.609546919505945&ll=46.62979067231111, 32.609546919505945&z=13&hl=en",It was taken out of the Kherson Art Museum by representatives of the russian federation,https://war-sanctions.gur.gov.ua/en/stolen/objects/5138
