category,name,type,inscription_year,criteria,location,description,transnational,danger_list,danger_list_year,coordinates,extensions
Tentative List,Kyiv: Saint Sophia Cathedral with Related Monastic Buildings St. Cyril's and St. Andrew's Churches Kyiv-Pechersk Lavra,Cultural,Submitted 2016,,"Kyiv, Kyiv Oblast","Proposed extension of existing World Heritage site to include additional churches of historic and architectural significance.",,,,,
Tentative List,Trading Posts and Fortifications on Genoese Trade Routes from the Mediterranean to the Black Sea,Cultural,Submitted 2020,,Multiple locations,"Serial transnational nomination documenting Genoese commercial and military architecture along medieval trade routes.",,,,,
Tentative List,Khan's Palace in Bakhchysarai,Cultural,,,Bakhchysarai Crimea,"Former residence of Crimean Khans. Located in occupied Crimea.",,,,,
Tentative List,Genoese Fortress in Balaklava,Cultural,,,Balaklava Crimea,"Medieval Genoese fortification. Located in occupied Crimea.",,,,,
Tentative List,Kamyanets-Podilsky Historic Centre,Cultural,,,Kamyanets-Podilsky Khmelnytskyi Oblast,"Historic fortified city with well-preserved medieval and early modern architecture.",,,,,
Tentative List,Sophia of Kyiv – Grand Cultural Capital,Cultural,,,Kyiv,"Proposed expansion focusing on Sophia Cathedral complex and surrounding cultural landscape.",,,,,
Tentative List,Pochayiv Lavra,Cultural,,,Pochayiv Ternopil Oblast,"Important Orthodox monastery and pilgrimage site.",,,,,
Tentative List,Medieval Fortresses in the Ukrainian Carpathians,Cultural,,,Carpathian region,"System of medieval defensive structures in the Carpathian Mountains.",,,,,
Tentative List,Taras Shevchenko's Grave,Cultural,,,Kaniv Cherkasy Oblast,"Memorial site of Ukraine's national poet. Granted UNESCO enhanced protection in 2023.",,,,,
Tentative List,Historic Centres of Kremenets and Zbarazh,Cultural,,,Ternopil Oblast,"Historic urban ensembles with significant architectural heritage.",,,,,
Tentative List,Kachanivka Palace and Park Ensemble,Cultural,,,Ichnia Chernihiv Oblast,"18th-19th century palace complex with landscape park.",,,,,
Tentative List,Dormition Cathedral Pochaiv,Cultural,,,Pochayiv Ternopil Oblast,"Historic cathedral within Pochayiv Lavra complex.",,,,,
Tentative List,Dniester Canyon,Natural,,,Ternopil and Chernivtsi Oblasts,"Unique natural canyon landscape along the Dniester River.",,,,,
Tentative List,Danube Biosphere Reserve,Natural,,,Odesa Oblast,"Important wetland ecosystem at the Danube Delta.",,,,,
State of Conservation,Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra,2023 Report,,,,"Under permanent threat since February 24 2022. Inscribed on List of World Heritage in Danger September 2023. Physical damage in buffer zone. Management plan development stalled. Great Restoration Programme projects suspended due to war.",,,,,
State of Conservation,Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra,2024 Report,,,,"Continued monitoring and protection efforts. Ongoing threats from armed conflict. Emergency preparedness measures implemented.",,,,,
State of Conservation,Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings Kyiv-Pechersk Lavra,2025 Report,,,,"Report submitted by State Party. Assessment ongoing.",,,,,
State of Conservation,L'viv – the Ensemble of the Historic Centre,2023 Report,,,,"Inscribed on List of World Heritage in Danger September 2023. Under permanent threat since February 24 2022. Vulnerable to shockwaves from bombing. Multiple protection measures implemented by Ukrainian authorities.",,,,,
State of Conservation,L'viv – the Ensemble of the Historic Centre,2024 Report,,,,"Continued protection and monitoring. Emergency response protocols in place. Training for cultural professionals.",,,,,
State of Conservation,L'viv – the Ensemble of the Historic Centre,2025 Report,,,,"Report submitted by State Party. Assessment ongoing.",,,,,
State of Conservation,The Historic Centre of Odesa,2023 Report,,,,"Inscribed simultaneously on World Heritage List and List of World Heritage in Danger January 25 2023. Significant damage from aerial assaults including July 2023 strikes affecting museums. 52 cultural properties reported damaged of which 47 verified by UNESCO mission.",,,,,
State of Conservation,The Historic Centre of Odesa,2024 Report,,,,"Major attacks November 14-15 2024 damaged historic buildings within property boundaries. Management plan development in progress with UNESCO-ICOMOS support. UNESCO-Japan Funds-in-Trust project providing USD 5.9 million for monitoring and emergency response. UNESCO-Italy project USD 530000 for protective roof on Transfiguration Cathedral.",,,,,
State of Conservation,The Historic Centre of Odesa,2025 Report,,,,"Report submitted by State Party. Ongoing protection and rehabilitation efforts.",,,,,
State of Conservation,Ancient City of Tauric Chersonese and its Chora,2016 Report,,,,"Critical state of conservation of ruins with high dilapidation. Some structures close to collapse. Located in occupied Crimea restricting UNESCO access since 2014.",,,,,
State of Conservation,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,2023 Report,,,,"Monitoring challenges due to war. No direct conflict damage reported to Ukrainian components as of 2023.",,,,,
State of Conservation,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,2025 Report,,,,"Continued monitoring within security constraints.",,,,,
General Information,Total World Heritage Sites in Ukraine,8,,,,"7 cultural and 1 natural site. 3 sites currently on List of World Heritage in Danger (Kyiv, Lviv, Odesa). 3 sites are transnational.",,,,,
General Information,Total Tentative List Sites,16,,,,"16 sites on Tentative List awaiting nomination. Several located in occupied territories.",,,,,
General Information,Enhanced Protection List,27,,,,"25 sites added to International List of Cultural Property Under Enhanced Protection in 2023. 2 additional sites (Babyn Yar Memorial and Odesa Literary Museum) added December 2024. Total 27 sites under enhanced protection.",,,,,
General Information,Verified Damage,343 sites (as of 2024),,,,"UNESCO verified damage to 343 cultural sites as of February 2024: 31 museums 127 religious sites 151 buildings of historical/artistic interest 19 monuments 14 libraries 1 archive. Worst affected regions: Donetsk (88 sites) Kharkiv (56 sites) Odesa (49 sites) Kyiv (39 sites) Luhansk (34 sites).",,,,,
General Information,Recovery Costs,USD 9 billion,,,,"Estimated cost for recovery and reconstruction of culture and tourism sectors 2024-2033. Increased from USD 6.9 billion in 2023.",,,,,
General Information,UNESCO Funding,USD 66 million,,,,"UNESCO raised over USD 66 million from Member States and private sector over 2 years (2022-2024). Japan contributed almost USD 26 million.",,,,,
