event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR1816,2018-02-23,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Journalists (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Rivne,Rivnenskyi,Rivnenska,Rivne,50.6231,26.2274,1,ZMINA,Other,"Property destruction: On 23 February 2018, an unidentified person set fire with the help of an inflammation mixture to the editorial office of the Rivne information portal 'Fourth power' that was investigating different corruption cases.",0,,1732648572
UKR39131,2018-02-27,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2014-2019); European Solidarity",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zakarpattia,Berehivskyi,Berehivska,Berehove,48.2056,22.6442,1,"24 Channel; Novoye Vremya Ukraine",National,"Property destruction: On 27 February 2018, unidentified individuals threw a bottle with incendiary mixture inside a shop belonging to a city council deputy from European Solidarity party in Berehove, Zakarpattia. The building was damaged by fire, no injuries were reported.",0,"local administrators",1687837309
UKR2294,2018-03-10,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Ukrainian Orthodox Christian Group (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Obolonskyi",50.5286,30.4749,1,"OSCE SMM-Ukraine",Other,"Property destruction: On 10 March 2018, unidentified individuals threw a plastic bottle containing flammable substances into the chapel of Ukrainian Orthodox Church in Kiev - Obolonskyi. The fire damaged parts of the floor and ceiling of the chapel but the chapel had reopened on 11 March. The police had launched an investigation under Article 194.2 of the Criminal Code (intentional damage to property).",0,,1646184495
UKR2429,2018-03-15,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Self Reliance Party",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Odeskyi,"Chornomorska (miska)",Chornomorsk,46.3049,30.6547,1,"Dumskaya; Novoye Vremya Ukraine",Subnational-National,"Property destruction: On 15 March 2018, a car of Ivan Smyrenskyy, the head of the Odessa regional branch of the Self-Reliance (Samopomich) party and the party faction leader in the town council, was torched in Chornomorsk, Odessa. The victim said that unknown people got over the fence into his backyard, splashed petrol on his car and set it on fire. He also linked the incident to his political activity.",0,"local administrators",1732648587
UKR2460,2018-03-16,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zakarpattia,Berehivskyi,Berehivska,Berehove,48.2056,22.6442,1,ZMINA,Other,"Property destruction: On 16 March 2018, about dozen cars with Hungarian numbers were damaged in Berehove. The attackers smashed the windshields of the cars. Cars with Ukrainian numbers, that was parked near remained unharmed.",0,,1654034429
UKR2656,2018-03-24,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.4639,30.7386,1,"OSCE SMM-Ukraine",Other,"Property destruction: On 24 March 2018, unidentified individuals tried to set up a fire at the Polish cultural centre Poska Nuta in Odessa. Fire slightly damaged the door of the cultural centre.",0,,1646184495
UKR37394,2018-03-26,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Stop Corruption",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Chernivtsi,Chernivetskyi,Chernivetska,Chernivtsi,48.2915,25.9403,1,"Stop Corruption; Novoye Vremya Ukraine",National,"Property destruction: On 26 March 2018, unidentified individuals set fire to a car of a Stop Corruption activist in Chernivtsi. The car was destroyed, no injuries were reported.",0,,1618586010
UKR2741,2018-03-26,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Ukrainian Orthodox Christian Group (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Odesa,Odeskyi,Dalnytska,Roksolany,46.1743,30.4546,1,"OSCE SMM-Ukraine; Unian",Other-National,"Property destruction: On 26 March 2018, unidentified individuals had broken into church building of the Ukrainian Orthodox Church in Roksolany, Odesa. They broke all the locks, spilled cereal, sugar and flour, and poured sunflower oil all over the temple. Church utensils and clothes were thrown on the floor and desecrated. Police launched an investigation under Article 186 of the Criminal Code of Ukraine.",0,,1633462517
UKR3030,2018-04-02,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","NAF: United Armed Forces of Novorossiya",,"Rebel group","Civilians (International)","OSCE: Organization for Security and Co-operation in Europe",Civilians,"Rebel group-Civilians",,804,Europe,Ukraine,Luhansk,Rovenkivskyi,Khrustalnenska,Miusynsk,48.0775,38.9036,2,"Liveuamap; Unian","Local partner-New media","Property destruction: On 2 April 2018, NAF militants attacked OSCE drones with small arms, one of them downed near the town of Miusynsk.",0,,1633462517
UKR3035,2018-04-02,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","NAF: United Armed Forces of Novorossiya","Donetsk People's Militia","Rebel group","Military Forces of Ukraine (2014-2019)",,"State forces","State forces-Rebel group",,804,Europe,Ukraine,Donetsk,Kalmiuskyi,Novoazovska,Sakhanka,47.1272,37.8601,1,"Donetsk News Agency",Subnational,"Interception: On 2 April 2018, DPR servicemen downed a Ukrainian unmanned aerial vehicle on a reconnaissance mission over the Sakhanka village.",0,,1680636694
UKR3122,2018-04-05,2018,2,"Strategic developments","Strategic developments","Looting/property destruction","NAF: United Armed Forces of Novorossiya",,"Rebel group","Civilians (International)","OSCE: Organization for Security and Co-operation in Europe",Civilians,"Rebel group-Civilians",,804,Europe,Ukraine,Luhansk,Rovenkivskyi,Khrustalnenska,Miusynsk,48.0775,38.9036,2,"Liveuamap; OSCE SMM-Ukraine; Unian; Ukrinform","Local partner-New media","Property destruction: Around 5 April 2018, one OSCE SMM drone was downed near the town of Miusynsk, where NAF forces set up a shooting range. According to mission observers, over the last three days, during verification activities on the withdrawal of equipment and weapons from areas temporarily not controlled by the Ukrainian government, NAF militants have fired three times at UAVs of the OSCE SMM.",0,,1633462517
UKR3699,2018-04-20,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","NAF: United Armed Forces of Novorossiya",,"Rebel group","Civilians (Ukraine)","OSCE: Organization for Security and Co-operation in Europe",Civilians,"Rebel group-Civilians",,804,Europe,Ukraine,Luhansk,Alchevskyi,Zymohirivska,Novohryhorivka,48.6415,38.8910,2,"OSCE SMM-Ukraine",Other,"Property destruction: On 20 April 2018, small-arms fire was directed at an SMM mini-UAV near Novohryhorivka (in an area of Luhansk region outside government control). The SMM assessed the fire as aimed at the UAV, which it landed safely. Footage from the mini-UAV revealed the presence of four tanks (T-64) in violation of withdrawal lines and also three men taking aim and probably firing at the UAV.",0,,1633462520
UKR36084,2018-05-26,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2014-2019); Lawyers (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zakarpattia,Uzhhorodskyi,Uzhhorodska,Uzhhorod,48.6167,22.3000,1,"Novoye Vremya Ukraine; Mukachevo.net",Subnational-National,"Property destruction: On 26 May 2018, unidentified individuals set fire to a car of a prosecutor in Uzhhorod. No injuries were reported.",0,,1633462517
UKR36090,2018-05-29,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2014-2019); Radical Party",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Darnytskyi",50.4003,30.6807,1,"Segodnya; Novoye Vremya Ukraine",National,"Property destruction: On 29 May 2018, an unidentified individual set fire to a car of an assistant of a Parliamentary deputy from the Radical party in Kiev - Darnytskyi. The car burned down together with two other cars, no injuries were reported.",0,,1646184492
UKR5446,2018-05-30,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (International)","OSCE: Organization for Security and Co-operation in Europe",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Krynychanske,48.5958,38.7530,2,"Donetsk News Agency; Ministry of Defence of Ukraine; OSCE SMM-Ukraine",Other-Subnational,"Property destruction: On 30 May 2018, small-arms fire was directed at an SMM mini-unmanned aerial vehicle (UAV) near Krynychanske (non-government-controlled, formerly Chervonohvardiiske, 42km west of Luhansk). The Mission landed the mini-UAV without damage. DPR Command and JFO Headquarters put blame on each other. The OSCE SMM observed a total of 20 shots involving small arms near Krynychanske.",0,,1691529762
UKR5632,2018-06-03,2018,2,"Strategic developments","Strategic developments","Looting/property destruction","Military Forces of Ukraine (2014-2019)",,"State forces","Civilians (Ukraine)",,Civilians,"State forces-Civilians",,804,Europe,Ukraine,Donetsk,Bakhmutskyi,Toretska,Pivdenne,48.3564,37.9269,1,"Donetsk News Agency",Subnational,"Property destruction: Around 3 June 2018, the governmental forces burned down 9 civilian houses in Pivdenne, Donetsk.",0,,1635881067
UKR5670,2018-06-04,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Right Sector; Former Military Forces of Ukraine (2014-2019)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Rivne,Rivnenskyi,Rivnenska,Rivne,50.6231,26.2274,1,"24 Channel; Local Source; Segodnya",National-International,"Property destruction: On 4 June 2018, unidentified persons set on fire a car of a local public activist, former head of the local branch of Right Sector and Donbas volunteer in Rivne, Ukraine. The car was destroyed, nobody was injured.",0,,1732648595
UKR5781,2018-06-07,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kherson,Skadovskyi,Kalanchatska,Kalanchak,46.2562,33.2907,1,"Most Dnepr News Agency",National,"Property destruction: On 7 June 2018, a car that belongs to NGO Kordon [an NGO that represents Donbass veterans and volunteers in Oleshky district, Kherson] was set on fire in Kalanchak, Kherson.",0,,1635881068
UKR6419,2018-06-22,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,"Kyiv - Solomyanskyi",50.4267,30.4538,1,Interfax,International,"Property destruction: On 22 June 2018, unknown individuals threw an incendiary mixture into a building of a bank in Kiev - Solomyanskyi, which damaged the windows. There were no injuries.",0,,1646184494
UKR35231,2018-06-24,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2014-2019); European Solidarity",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kherson,Khersonskyi,Khersonska,Kherson,46.6558,32.6178,1,"24 Channel; Novoye Vremya Ukraine",National,"Property destruction: On 24 June 2018, unidentified individuals set fire to a house of a Parliamentary deputy from the European Solidarity party in Kherson. The roof of the house was destroyed, there were no injuries.",0,,1732648589
UKR6885,2018-07-04,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","LGBTQ+ (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,"Liveuamap; ZMINA; Ukrayinska Pravda; Novyny","Local partner-New media","Property destruction: On 4 July 2018, unidentified individuals broke into the office of LGBT centre 'PrideHub' in Kharkiv, released pepper spray and threw a smoke grenade damaging the property of the organisation.",0,,1679428446
UKR34947,2018-07-04,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2014-2019)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Rivne,Sarnenskyi,Dubrovytska,Dubrovytsia,51.5744,26.5650,1,"24 Channel; Novoye Vremya Ukraine; Reporter-ua; Segodnya",National,"Property destruction: On 4 July 2018, unidentified individuals set fire to a car of a deputy head of the district state administration in Dubrovytsia, Rivne. The car was destroyed, no injuries were reported.",0,"local administrators",1687837309
UKR7100,2018-07-11,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Journalists (Ukraine); Opposition Bloc",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Dnipropetrovsk,Kamianskyi,Kamianska,Kamianske,48.5212,34.6114,1,"Dnepr Vecherniy",Subnational,"Property destruction: On 11 July 2018, the editorial office of a newspaper associated with the Opposition Bloc party was deliberately set on fire in Kamianske, Dnipropetrovsk.",0,,1635881067
UKR7153,2018-07-12,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Former Government of Ukraine (2014-2019)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Rivne,Rivnenskyi,Rivnenska,Rivne,50.6231,26.2274,1,ZIK,National,"Property destruction: On 12 July 2018, unidentified individuals set fire to a car of the former head of the Rivne regional council in Rivne. The car was completely destroyed.",0,"local administrators",1732648668
UKR34562,2018-07-17,2018,2,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","NAF: United Armed Forces of Novorossiya",,"Rebel group","Rebel group-Political militia",,804,Europe,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk,48.0150,37.8014,1,"Stop Corruption",National,"Property destruction: Around 17 July 2018 (as reported), unidentified individuals destroyed 8 crosses and 18 graves of NAF rebels on a cemetery in Donetsk.",0,,1635881069
UKR34563,2018-07-17,2018,2,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","NAF: United Armed Forces of Novorossiya",,"Rebel group","Rebel group-Political militia",,804,Europe,Ukraine,Donetsk,Donetskyi,Makiivska,Makiivka,48.0464,37.9693,1,"Stop Corruption",National,"Property destruction: Around 17 July 2018 (as reported), unidentified individuals destroyed 25 gravestones of NAF rebels on a cemetery in Makiivka, Donetsk.",0,,1732648589
UKR7884,2018-08-03,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Donetsk People's Republic - Government",,"Rebel group","Rebel group-Political militia",,804,Europe,Ukraine,Donetsk,Donetskyi,Yasynuvatska,Yasynuvata,48.1298,37.8594,1,"Donetsk News Agency",Subnational,"Property destruction: On 3 August 2018, as a result of saboteur activities fire engulfed a traction power sub-station of the Donetsk Railways state enterprise in Yasynuvata. Two transformer sub-stations have burnt down, another one damaged by fire; five tons of insulating oil have also burnt out as well as 50 sq m of roofing of an administrative two-storey building and two railway cars.",0,,1635881068
UKR34198,2018-08-05,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2014-2019)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zaporizhia,Vasylivskyi,Kamiansko-Dniprovska,Kamianka-Dniprovska,47.4640,34.4305,2,Reporter-ua,Subnational,"Property destruction: On 5 August 2018, unidentified individuals threw an incendiary mixture and set fire to a village council building in the area of Kamianka-Dniprovska, Zaporizhia.",0,"local administrators",1687837309
UKR7957,2018-08-06,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Russia)","Chechen Ethnic Group (Russia)","Political militia","Civilians (Ukraine)","Journalists (Ukraine)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,"Kyiv City",Kyiv,,Kyiv,50.4496,30.5224,2,"Ukrainian News Agency",National,"Property destruction: On 6 August 2018, unidentified individuals tried to break into the house of a TV journalist and her parents outside Kiev by breaking the door, however fled when neighbours called the police. One of the attackers was identified as a member of a Chechen criminal group and was placed on the wanted list.",0,,1646184497
UKR33811,2018-08-15,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2014-2019)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Sumy,Romenskyi,Romenska,Romny,50.7510,33.4747,1,"24 Channel",National,"Property destruction: On 15 August 2018, two unidentified individuals set fire to a car and a building belonging to a deputy of a local council in Romny, Sumy. The car was destroyed, but there were no injuries.",0,"local administrators",1687837309
UKR33438,2018-08-25,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Former Military Forces of Ukraine (2014-2019)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Derhachivska,Derhachi,50.1066,36.1211,1,"24 Channel",National,"Property destruction: On 25 August 2018, unidentified individuals set fire to a car of an anti-corruption activist and Donbas veteran in Derhachi, Kharkiv. The car was damaged, but there were no injuries.",0,,1635881067
UKR33437,2018-08-25,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2014-2019)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.9808,36.2527,1,Segodnya,National,"Property destruction: On 25 August 2018, unidentified individuals set fire to a car of a deputy of the regional council in Kharkiv. The car was damaged, but there were no injuries.",0,"local administrators",1687837309
UKR33068,2018-09-02,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)","Government of Ukraine (2014-2019)",Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Rivne,Rivnenskyi,Rivnenska,Rivne,50.6231,26.2274,1,"24 Channel; LIGA.net; Novoye Vremya Ukraine; Segodnya",National,"On 2 September 2018, unidentified individuals set fire to a car of a city council deputy in Rivne. The car was damaged, no injuries were reported.",0,"local administrators",1732648589
UKR33073,2018-09-04,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Zaporizhia,Zaporizkyi,Zaporizka,Zaporizhia,47.8479,35.1602,1,061.ua,Subnational,"On 4 September 2018, unidentified individuals set fire to a car of local activist who had organized protests against businessmen and protected legal construction in Zaporizhia. His car was destroyed, another car got damaged, no injuries were reported.",0,,1618585894
UKR9012,2018-09-06,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Unidentified Armed Group (Ukraine)",,"Political militia","Civilians (Ukraine)",,Civilians,"Political militia-Civilians",,804,Europe,Ukraine,Donetsk,Horlivskyi,Horlivska,Maiorsk,48.4005,37.9708,1,"OSCE SMM-Ukraine",Other,"On 6 September 2018, in Mayorsk, Civilian buildings sustained small firearms damages. On 7 September, at 15 Maiorska Street, the SMM observed a fresh hole in the south-facing wall and a broken south-facing window on the third floor of a five-storey building, assessed by the SMM as caused by an undetermined weapon fired from a south-easterly direction. A male resident (60-70 years old) showed the SMM a 12.7mm bullet that he claimed had caused the above-mentioned damage to the window. Three other residents of the building told the SMM that they had heard gunfire on the evening of 6 September.",0,,1706648940
